"","FECHA","HORA","CO","CO2","NO","NO2","NOX","O3"
"1013","14/02/2021",22,0.26,1,1,9,9,27
"1739","18/03/2021",19,0.7,1,3,31,35,25
"4851","21/09/2021",2,0.37,7,4,40,43,3
"4928","24/09/2021",13,0.22,2,2,12,14,60
"1779","20/03/2021",11,0.76,43,15,39,54,28
"1635","14/03/2021",6,0.85,3,13,39,53,2
"4307","28/08/2021",10,0.23,0,4,4,8,17
"3620","14/06/2021",5,0.22,1,6,17,23,2
"5035","29/09/2021",6,1.16,2,59,25,84,1
"5167","04/10/2021",19,0.44,1,5,22,28,15
"2727","06/05/2021",3,0.17,1,1,17,18,19
"2615","01/05/2021",7,1.37,2,76,32,107,1
"3865","06/08/2021",16,0.17,1,1,6,8,50
"687","31/01/2021",13,0.22,4,3,14,16,51
"4887","22/09/2021",17,0.08,1,3,7,10,30
"119","06/01/2021",9,2.1,3,110,46,156,2
"4296","27/08/2021",23,0.16,1,1,4,5,18
"39","03/01/2021",1,0.12,1,0,10,10,27
"286","13/01/2021",12,0.51,2,6,23,30,35
"1747","19/03/2021",3,0.27,2,2,28,30,11
"3784","03/08/2021",3,0.09,0,1,10,11,17
"3424","05/06/2021",19,0.67,2,2,28,29,38
"3982","11/08/2021",13,0.46,1,3,23,26,76
"4521","06/09/2021",16,0.39,1,1,15,16,76
"172","08/01/2021",18,0.36,2,1,15,17,37
"337","16/01/2021",2,0.53,2,10,37,47,2
"3224","28/05/2021",3,0.14,1,1,23,24,22
"3076","21/05/2021",20,0.18,1,1,15,15,37
"4673","13/09/2021",5,0.15,0,4,15,18,9
"951","12/02/2021",4,0.19,1,3,12,15,9
"4116","17/08/2021",6,0.25,1,7,20,27,4
"3873","06/08/2021",24,0.41,0,4,22,26,8
"2436","22/04/2021",21,0.29,2,0,13,14,34
"4007","12/08/2021",17,0.27,1,1,12,13,66
"3120","23/05/2021",16,0.09,2,0,7,7,66
"3843","05/08/2021",15,0.09,1,0,4,4,49
"2585","30/04/2021",1,0.14,1,1,16,17,25
"3649","15/06/2021",10,0.34,1,11,14,25,18
"2149","07/04/2021",18,0.12,1,1,12,13,45
"5108","02/10/2021",7,1.55,1,57,30,87,2
"542","24/01/2021",18,0.21,1,1,9,10,33
"1914","26/03/2021",11,0.23,2,4,22,26,39
"4523","06/09/2021",18,0.37,1,2,22,24,35
"4158","22/08/2021",2,1.21,1,37,28,65,2
"3496","08/06/2021",22,0.82,1,2,39,42,17
"4528","06/09/2021",23,0.24,1,1,14,15,26
"1482","07/03/2021",16,0.07,2,1,11,12,48
"4683","13/09/2021",20,0.25,1,2,6,8,13
"4176","22/08/2021",20,0.59,1,4,22,26,12
"4064","15/08/2021",2,0.24,0,2,13,15,23
"2538","27/04/2021",11,0.6,2,5,32,37,52
"4968","26/09/2021",5,0.16,1,1,16,18,12
"406","18/01/2021",23,0.35,1,1,18,19,22
"2333","15/04/2021",19,0.49,1,2,29,31,41
"3050","20/05/2021",18,0.22,1,1,14,15,61
"438","20/01/2021",10,0.68,49,25,29,54,10
"4104","16/08/2021",18,0.11,1,1,12,13,38
