"","FECHA","HORA","CO","CO2","NO","NO2","NOX","O3"
"4162","22/08/2021",6,0.86,1,21,22,44,2
"493","22/01/2021",17,0.33,2,1,16,17,74
"1429","05/03/2021",11,0.74,3,16,52,67,35
"4156","21/08/2021",24,1.74,1,57,28,86,2
"2785","09/05/2021",8,0.87,2,14,41,55,11
"3023","19/05/2021",12,0.17,1,0,6,7,61
"602","27/01/2021",23,0.26,1,2,14,15,18
"4477","04/09/2021",17,0.36,1,3,14,17,37
"3868","06/08/2021",19,0.79,1,6,41,46,19
"3695","17/06/2021",8,0.29,1,6,17,23,16
"1142","21/02/2021",3,0.34,6,3,30,33,8
"1939","27/03/2021",18,0.18,1,1,9,10,39
"1500","08/03/2021",10,0.53,24,17,26,43,16
"3268","29/05/2021",24,0.11,1,2,11,13,27
"3299","31/05/2021",7,1.18,2,60,31,91,1
"4092","16/08/2021",6,0.22,0,3,16,19,7
"4268","26/08/2021",19,0.26,1,1,7,8,34
"1498","08/03/2021",8,0.45,9,16,32,48,6
"4583","09/09/2021",8,0.68,0,16,24,40,8
"1470","07/03/2021",4,0.24,5,2,22,24,9
"3994","12/08/2021",4,0.3,1,3,21,23,7
"4459","03/09/2021",23,0.64,1,7,32,39,10
"5134","03/10/2021",9,0.54,1,10,27,36,9
"708","01/02/2021",13,0.13,1,2,7,9,32
"4462","04/09/2021",2,0.25,0,2,16,18,13
"187","09/01/2021",9,1.63,3,100,42,142,2
"5173","05/10/2021",4,0.02,1,1,7,8,13
"5224","07/10/2021",7,0.53,1,10,25,35,4
"3516","09/06/2021",18,0.65,1,1,22,23,35
"1359","02/03/2021",9,1.06,2,28,42,71,9
"3719","18/06/2021",8,0.45,1,13,26,39,9
"619","28/01/2021",17,0.24,1,0,12,12,63
"3389","04/06/2021",8,0.72,1,16,30,46,10
"4122","17/08/2021",12,0.2,1,2,11,13,59
"1478","07/03/2021",12,0.6,4,6,36,42,48
"4346","30/08/2021",4,0.25,1,4,11,15,8
"4121","17/08/2021",11,0.17,1,3,11,14,40
"2319","15/04/2021",5,0.54,1,27,36,63,6
"2242","11/04/2021",21,0.36,2,2,21,23,27
"2618","01/05/2021",10,0.11,1,1,6,7,41
"1344","01/03/2021",18,0.24,3,1,15,16,53
"3053","20/05/2021",21,0.28,2,0,23,23,38
"718","01/02/2021",23,0.3,1,3,22,25,12
"3485","08/06/2021",11,0.74,2,8,41,48,56
"4734","15/09/2021",23,0.67,4,7,23,30,7
"724","02/02/2021",5,0.17,1,2,19,21,7
"433","20/01/2021",5,0.26,2,4,26,29,7
"4239","25/08/2021",14,0.21,1,2,7,9,42
"2120","06/04/2021",12,0.2,5,2,13,15,45
"2185","09/04/2021",10,1.92,5,58,86,144,16
"3412","05/06/2021",7,1.03,1,31,30,60,2
"3227","28/05/2021",6,0.13,1,3,16,19,18
"4187","23/08/2021",7,0.5,1,17,21,38,3
"714","01/02/2021",19,0.38,1,2,23,25,26
"4859","21/09/2021",13,0.38,13,4,20,24,71
"4031","13/08/2021",17,0.28,1,0,12,13,50
"4624","11/09/2021",4,0.09,1,1,10,11,30
"1955","28/03/2021",10,0.82,5,12,43,55,31
"4204","23/08/2021",24,0.17,0,1,10,11,24
"1784","20/03/2021",16,0.25,7,1,12,12,58
"4368","31/08/2021",2,0.09,0,1,3,3,16
"194","09/01/2021",16,0.34,1,4,11,15,33
"3382","04/06/2021",1,0.37,1,1,20,21,19
"3641","15/06/2021",2,0.07,1,1,5,6,10
"5162","04/10/2021",14,0.15,1,2,8,10,48
"1970","29/03/2021",1,0.1,1,1,13,14,20
"2751","07/05/2021",4,0.07,1,1,9,9,20
"3812","04/08/2021",7,0.47,1,15,24,39,2
"1748","19/03/2021",4,0.2,1,2,21,23,15
"247","11/01/2021",21,0.33,1,1,14,15,17
"2542","27/04/2021",15,0.2,2,0,10,10,76
"2593","30/04/2021",9,0.9,2,23,39,63,14
"2508","26/04/2021",4,0.3,2,2,18,20,18
"1362","02/03/2021",12,0.89,3,4,31,35,56
"3929","09/08/2021",8,0.79,1,28,26,54,4
"1236","25/02/2021",5,0.37,10,14,27,41,3
"2110","06/04/2021",2,0.24,2,1,18,19,17
"1663","15/03/2021",14,0.1,3,0,11,12,65
"190","09/01/2021",12,0.63,3,9,32,41,31
"3499","09/06/2021",1,0.44,1,1,23,24,28
"1534","09/03/2021",24,0.61,1,11,40,51,4
"3027","19/05/2021",16,0.14,2,1,10,11,52
"2244","11/04/2021",23,0.38,2,1,23,24,23
"922","10/02/2021",20,0.7,2,1,32,34,25
"3239","28/05/2021",19,0.12,1,0,7,8,60
"3332","01/06/2021",19,0.24,1,1,10,11,37
"3532","10/06/2021",10,0.59,8,19,32,51,23
"1538","10/03/2021",4,0.33,2,9,34,43,3
"4338","29/08/2021",17,0.92,1,15,28,43,4
"1556","10/03/2021",22,0.37,2,1,22,23,39
"2753","07/05/2021",6,0.24,1,2,17,19,14
"1964","28/03/2021",19,0.18,1,1,10,11,29
"2346","18/04/2021",23,0.26,1,3,20,23,20
"4362","30/08/2021",20,0.91,1,9,34,43,2
"1659","15/03/2021",10,0.34,3,6,23,29,28
"2058","03/04/2021",21,0.25,1,1,18,19,18
"1024","15/02/2021",9,2.22,3,116,48,163,4
"749","03/02/2021",6,0.53,1,20,28,47,3
"5069","30/09/2021",16,0.24,3,2,9,11,38
"4076","15/08/2021",14,0.09,1,1,6,6,55
"129","06/01/2021",19,0.37,1,1,17,18,30
"4051","14/08/2021",13,0.13,1,2,10,11,51
"4289","27/08/2021",16,0.22,1,1,5,6,42
"298","14/01/2021",11,0.6,3,15,25,39,21
"5048","29/09/2021",19,0.39,1,2,16,18,32
"4857","21/09/2021",8,0.82,6,36,30,66,4
"4509","06/09/2021",4,0.13,1,2,19,21,11
"1287","27/02/2021",9,1.85,3,83,63,146,6
"5014","28/09/2021",6,0.79,1,45,26,71,2
"1636","14/03/2021",7,1.43,4,55,41,96,2
"2509","26/04/2021",5,0.26,2,1,15,17,22
"5174","05/10/2021",5,0.13,1,3,11,14,8
"191","09/01/2021",13,0.3,1,3,15,17,36
"2160","08/04/2021",9,0.93,3,18,46,64,23
"2248","12/04/2021",3,0.49,2,2,34,36,8
"1477","07/03/2021",11,1.01,7,18,53,71,30
"3553","11/06/2021",7,0.35,2,7,26,33,7
"1021","15/02/2021",6,0.08,1,0,2,2,34
"4087","16/08/2021",1,0.17,0,0,13,14,13
"3541","10/06/2021",19,0.2,1,2,14,16,25
"4113","17/08/2021",3,0.09,0,1,13,14,15
"1575","11/03/2021",18,0.08,1,1,12,13,55
"900","09/02/2021",22,0.39,1,1,16,16,30
"1661","15/03/2021",12,0.2,4,2,16,18,57
"3339","02/06/2021",2,0.07,1,0,6,6,22
"1169","22/02/2021",7,1.31,3,61,44,105,3
"4115","17/08/2021",5,0.17,0,4,19,23,6
"4258","26/08/2021",9,0.66,1,25,22,47,13
"1638","14/03/2021",9,1.17,4,30,45,76,11
"943","11/02/2021",20,0.43,1,2,9,11,22
"1465","06/03/2021",23,0.37,1,4,21,25,20
"836","07/02/2021",6,0.54,2,2,31,33,17
"2227","11/04/2021",6,0.99,2,30,42,72,3
"2511","26/04/2021",7,0.75,2,14,37,51,5
"3558","11/06/2021",12,0.48,5,7,23,30,40
"2107","05/04/2021",23,0.42,3,3,28,31,22
"2481","24/04/2021",21,0.29,2,1,17,19,20
"3648","15/06/2021",9,0.48,1,19,21,40,10
"4335","29/08/2021",14,0.24,0,2,4,6,28
"2656","03/05/2021",4,0.08,1,0,4,5,26
"2549","27/04/2021",22,0.4,2,0,22,23,40
"3214","27/05/2021",17,0.09,3,1,10,10,65
"967","12/02/2021",20,0.42,1,7,12,19,12
"500","22/01/2021",24,0.72,2,4,32,36,20
"1128","20/02/2021",13,0.31,9,4,26,29,52
"141","07/01/2021",7,0.32,1,11,34,44,3
"1641","14/03/2021",12,0.25,3,2,14,16,49
"3286","30/05/2021",18,0.24,1,0,12,12,45
"556","25/01/2021",8,1.4,1,55,36,91,1
"3343","02/06/2021",6,0.26,1,1,18,19,14
"4495","05/09/2021",14,0.27,2,2,8,10,57
"1301","27/02/2021",23,0.24,2,0,12,13,40
"2208","10/04/2021",11,0.66,2,9,41,50,45
"3697","17/06/2021",10,0.17,1,4,9,13,26
"330","15/01/2021",19,0.5,3,2,19,21,36
"4180","22/08/2021",24,0.37,0,5,21,26,7
"1542","10/03/2021",8,2.77,5,228,31,259,2
"4877","22/09/2021",7,0.54,1,12,29,41,4
"1476","07/03/2021",10,0.96,8,25,43,69,18
"4097","16/08/2021",11,0.15,1,6,18,24,33
"1791","20/03/2021",23,0.61,3,1,29,31,22
"707","01/02/2021",12,0.17,1,4,10,14,26
"1059","17/02/2021",13,0.07,1,2,6,8,39
"1995","30/03/2021",2,0.4,2,6,32,39,3
"235","11/01/2021",9,1.12,3,49,28,78,3
"169","08/01/2021",15,0.38,4,1,18,19,67
"680","31/01/2021",6,0.54,2,5,31,36,12
"1038","15/02/2021",24,0.28,1,1,13,14,24
"4440","03/09/2021",4,0.02,0,1,11,12,13
"2215","10/04/2021",18,0.4,2,3,19,22,39
"5103","02/10/2021",2,0.78,1,8,32,40,4
"2724","05/05/2021",24,0.24,1,1,17,18,21
"27","02/01/2021",12,0.67,3,12,36,48,39
"20","01/01/2021",20,0.21,1,0,10,10,35
"1811","21/03/2021",22,0.19,3,3,16,19,37
"1360","02/03/2021",10,0.86,4,12,32,44,25
"907","10/02/2021",5,0.27,2,1,15,15,19
"876","08/02/2021",22,0.42,1,1,20,21,23
"5027","28/09/2021",19,0.42,1,1,16,17,23
"90","05/01/2021",4,0.21,1,1,25,26,12
"67","04/01/2021",5,0.65,1,24,34,58,2
"2439","22/04/2021",24,0.29,2,1,18,19,28
"3664","16/06/2021",1,0.06,1,0,8,8,17
"723","02/02/2021",4,0.37,1,2,18,19,9
"3277","30/05/2021",9,0.66,2,19,35,53,18
"4712","15/09/2021",1,0.1,0,0,5,5,14
"691","31/01/2021",17,0.1,1,2,7,9,39
"246","11/01/2021",20,0.27,1,1,10,11,23
"2141","07/04/2021",10,0.58,2,15,33,48,24
"2716","05/05/2021",16,0.24,1,1,12,13,45
"405","18/01/2021",22,0.52,1,3,25,28,17
"4418","02/09/2021",5,0.25,1,2,9,11,15
"4933","24/09/2021",18,0.23,2,1,13,13,44
"4772","17/09/2021",18,0.34,1,3,20,23,20
"867","08/02/2021",13,0.16,1,1,6,7,42
"270","12/01/2021",20,0.34,1,1,13,14,24
"3528","10/06/2021",6,0.3,1,6,27,33,6
"2505","25/04/2021",21,0.48,2,3,32,35,19
"4067","15/08/2021",5,0.14,1,1,13,14,10
"1850","23/03/2021",14,0.14,1,1,10,11,54
"4347","30/08/2021",5,0.16,1,1,4,6,14
"1644","14/03/2021",15,0.17,2,0,10,10,63
"989","13/02/2021",22,0.3,1,2,8,10,17
"4372","31/08/2021",6,0.68,1,24,15,39,2
"3963","10/08/2021",18,0.19,1,0,9,9,68
"2355","19/04/2021",8,2.43,5,164,54,218,2
"1243","25/02/2021",12,0.91,7,16,55,71,36
"1040","16/02/2021",2,0.13,1,0,3,4,31
"2297","14/04/2021",7,1.26,2,42,43,85,1
"3288","30/05/2021",20,0.33,1,1,16,17,40
"1121","20/02/2021",6,0.74,67,46,39,85,0
"131","06/01/2021",21,0.34,1,1,19,20,23
"4010","12/08/2021",20,0.51,1,3,29,32,16
"2569","29/04/2021",8,1.25,2,57,43,100,4
"5090","01/10/2021",13,0.12,1,1,5,6,39
"4819","19/09/2021",18,0.07,1,1,8,9,31
"248","11/01/2021",22,0.21,1,1,9,10,17
"1162","21/02/2021",24,0.5,3,2,31,32,25
"1772","20/03/2021",4,0.3,7,2,25,26,10
"2434","22/04/2021",19,0.36,2,1,15,16,44
"3565","11/06/2021",19,0.31,2,1,16,17,24
"1155","21/02/2021",16,0.21,4,1,13,14,71
"4043","14/08/2021",5,0.59,1,1,29,31,5
"3210","27/05/2021",13,0.16,5,1,13,14,71
"703","01/02/2021",8,0.22,1,3,16,19,17
"2761","08/05/2021",8,0.71,5,38,30,69,4
"3493","08/06/2021",19,0.29,1,0,12,12,48
"2214","10/04/2021",17,0.24,2,2,12,13,40
"3758","01/08/2021",23,0.25,6,2,13,15,34
"4385","31/08/2021",20,0.74,1,7,26,32,12
"1875","24/03/2021",19,0.3,1,3,16,19,40
"1576","11/03/2021",19,0.16,2,0,12,12,45
"4373","31/08/2021",7,0.46,1,12,14,25,4
"4826","20/09/2021",1,0.1,1,1,14,15,13
"273","12/01/2021",23,0.25,1,1,14,15,20
"734","02/02/2021",15,0.41,3,6,27,33,52
"367","17/01/2021",8,0.66,1,15,17,32,8
"2944","16/05/2021",4,0.03,1,0,12,12,29
"3164","25/05/2021",12,0.39,2,3,24,27,68
"4004","12/08/2021",14,0.27,2,1,13,14,92
"1376","03/03/2021",6,0.33,1,7,28,35,11
"930","11/02/2021",4,0.07,1,0,7,7,18
"3713","18/06/2021",2,0.02,1,0,8,8,20
"3193","26/05/2021",20,0.27,1,1,19,19,28
"3259","29/05/2021",15,0.07,6,0,7,8,76
"3515","09/06/2021",17,0.38,1,1,13,14,43
"245","11/01/2021",19,0.25,1,1,7,8,24
"2292","13/04/2021",23,0.29,1,2,25,27,26
"1493","08/03/2021",3,0.34,20,2,30,33,8
"1617","13/03/2021",12,0.66,11,7,40,46,49
"4989","27/09/2021",3,0.11,1,0,4,4,20
"2487","25/04/2021",3,0.25,2,1,20,21,18
"3938","09/08/2021",17,0.25,1,0,10,11,70
"2546","27/04/2021",19,0.36,2,0,12,12,50
"4184","23/08/2021",4,0.27,1,5,19,24,4
"2666","03/05/2021",14,0.12,1,1,5,5,46
"1198","23/02/2021",12,0.86,6,12,50,62,39
"4320","28/08/2021",23,0.18,0,2,4,6,14
"4984","26/09/2021",22,0.4,1,3,14,17,33
"2408","21/04/2021",17,0.36,2,0,10,10,49
"1798","21/03/2021",9,0.74,28,21,36,56,9
"1054","16/02/2021",16,0.3,1,1,7,8,44
"1075","18/02/2021",5,0.04,1,1,9,10,25
"1537","10/03/2021",3,0.32,1,6,33,39,4
"358","16/01/2021",23,0.19,1,1,9,10,18
"2335","15/04/2021",21,0.37,1,2,25,27,35
"2834","11/05/2021",9,0.35,3,6,18,24,27
"5051","29/09/2021",22,0.59,1,4,27,31,17
"3257","29/05/2021",13,0.22,3,1,13,13,87
"2282","13/04/2021",13,0.19,3,1,12,12,61
"151","07/01/2021",17,0.06,1,0,6,6,39
"4098","16/08/2021",12,0.21,1,3,14,18,51
"8","01/01/2021",8,0.87,1,13,25,37,6
"5159","04/10/2021",11,0.27,1,7,13,20,27
"1357","02/03/2021",7,0.86,1,11,41,52,3
"3417","05/06/2021",12,0.45,5,3,18,21,56
"874","08/02/2021",20,0.45,1,1,16,17,33
"327","15/01/2021",16,0.47,8,1,20,21,72
"1696","16/03/2021",24,0.17,2,1,11,12,17
"3510","09/06/2021",12,0.42,3,2,19,21,67
"4620","10/09/2021",21,0.41,1,3,15,18,24
"3468","07/06/2021",18,0.36,1,1,13,14,50
"2211","10/04/2021",14,0.16,2,1,11,11,68
"3391","04/06/2021",10,0.61,2,10,26,36,30
"4616","10/09/2021",17,0.29,1,2,12,14,47
"2516","26/04/2021",12,0.51,2,2,26,28,65
"2745","06/05/2021",22,0.24,1,1,11,13,22
"4117","17/08/2021",7,0.88,1,44,22,67,1
"664","30/01/2021",14,0.25,3,1,13,14,62
"3170","25/05/2021",18,0.23,2,0,13,13,50
"3782","03/08/2021",1,0.11,0,1,9,10,21
"3018","19/05/2021",7,0.24,1,1,9,10,30
"3229","28/05/2021",8,0.73,2,19,34,53,11
"2405","21/04/2021",14,0.22,4,1,12,13,58
"2913","14/05/2021",19,0.24,1,2,18,20,24
"3667","16/06/2021",4,0.07,1,0,10,10,23
"2431","22/04/2021",16,0.19,2,1,9,9,51
"2437","22/04/2021",22,0.2,2,0,12,12,34
"1350","01/03/2021",24,0.49,2,1,14,15,29
"6","01/01/2021",6,0.4,1,9,10,20,21
"831","06/02/2021",22,0.32,2,0,14,15,38
"4630","11/09/2021",10,0.21,1,5,13,18,38
"159","08/01/2021",5,0.55,3,10,31,41,3
"955","12/02/2021",8,1.08,2,53,25,78,0
"2686","04/05/2021",10,0.43,1,4,17,21,42
"2412","21/04/2021",21,0.43,2,3,24,26,22
"1731","18/03/2021",11,0.21,1,4,14,18,32
"3221","27/05/2021",24,0.09,1,0,11,11,45
"2279","13/04/2021",10,1.29,3,22,68,91,23
"1382","03/03/2021",12,0.22,7,3,20,23,49
"3005","18/05/2021",18,0.38,1,2,18,20,59
"4885","22/09/2021",15,0.08,1,3,7,10,30
"914","10/02/2021",12,0.67,3,7,31,38,35
"3850","05/08/2021",22,0.49,1,5,23,28,14
"2445","23/04/2021",6,0.97,2,37,49,86,3
"325","15/01/2021",14,0.43,9,3,21,24,53
"2794","09/05/2021",17,0.32,3,1,16,16,38
"3301","31/05/2021",9,0.69,2,23,33,56,14
"2580","29/04/2021",20,0.29,2,1,12,13,54
"3819","04/08/2021",15,0.36,1,0,13,13,78
"2821","10/05/2021",20,0.31,2,0,13,14,49
"5003","27/09/2021",19,0.36,1,1,14,15,23
"3858","06/08/2021",9,0.55,2,16,23,39,14
"1884","25/03/2021",4,0.38,1,20,30,51,3
"4108","16/08/2021",22,0.24,0,2,16,19,26
"1211","24/02/2021",1,0.26,6,3,32,35,4
"796","05/02/2021",5,0.96,2,13,47,60,7
"793","05/02/2021",2,1.11,2,11,59,69,7
"53","03/01/2021",15,0.13,1,1,6,7,38
"4541","07/09/2021",12,0.26,1,6,17,23,49
"1675","16/03/2021",3,0.49,2,4,34,38,5
"3896","07/08/2021",23,0.49,1,4,25,29,9
"209","10/01/2021",7,0.24,1,3,9,12,16
"3633","14/06/2021",18,0.81,1,21,24,45,3
"3090","22/05/2021",10,0.55,2,11,35,46,37
"3642","15/06/2021",3,0.07,1,1,5,6,10
"694","31/01/2021",20,0.37,1,3,19,22,20
"4355","30/08/2021",13,0.2,1,2,4,6,25
"5099","01/10/2021",22,0.62,1,2,33,36,12
"1343","01/03/2021",17,0.2,4,1,16,17,66
"51","03/01/2021",13,0.07,1,0,4,4,34
"1921","26/03/2021",18,0,3,1,8,8,40
"4771","17/09/2021",17,0.29,1,2,18,19,29
"3765","02/08/2021",6,0.67,1,26,27,53,4
"82","04/01/2021",20,0.57,1,2,26,28,26
"3723","18/06/2021",12,0.31,1,4,15,19,38
"2030","02/04/2021",16,0.12,1,0,8,9,34
"1972","29/03/2021",3,0.07,1,1,11,12,19
"1783","20/03/2021",15,0.24,9,1,11,11,63
"280","13/01/2021",6,0.92,1,61,30,91,0
"239","11/01/2021",13,0.24,1,3,7,10,22
"4525","06/09/2021",20,0.48,1,5,24,29,22
"2403","21/04/2021",12,0.44,12,3,29,32,54
"4292","27/08/2021",19,0.28,1,2,8,10,31
"2129","06/04/2021",21,0.26,2,1,20,22,22
"3803","03/08/2021",22,0.51,1,12,35,47,2
"3665","16/06/2021",2,0.04,1,0,6,6,21
"2688","04/05/2021",12,0.25,1,2,11,13,58
"1154","21/02/2021",15,0.13,5,1,13,13,67
"606","28/01/2021",3,0.12,1,1,9,9,21
"130","06/01/2021",20,0.57,1,3,27,30,23
"96","05/01/2021",10,1.96,9,108,62,170,4
"1086","18/02/2021",16,0.18,2,1,11,12,56
"1812","21/03/2021",23,0.17,3,0,11,11,36
"4407","01/09/2021",18,0.68,1,4,23,27,44
"2202","10/04/2021",4,0.05,1,0,7,7,27
"66","04/01/2021",4,0.81,2,57,38,95,0
"538","24/01/2021",14,0.52,2,3,23,26,48
"3015","19/05/2021",4,0.06,1,0,4,4,40
"4911","23/09/2021",20,0.43,1,5,26,31,13
"1186","22/02/2021",24,0.12,4,1,19,21,18
"5136","03/10/2021",11,0.35,2,6,15,21,26
"4112","17/08/2021",2,0.12,0,1,15,16,14
"1925","27/03/2021",4,1.13,3,53,49,102,2
"2326","15/04/2021",12,0.28,2,3,21,24,51
"678","31/01/2021",4,1.08,2,20,50,70,4
"2383","20/04/2021",16,0.22,1,2,12,13,52
"4328","29/08/2021",7,0.25,0,3,7,10,9
"3122","23/05/2021",18,0.12,9,0,8,8,69
"5016","28/09/2021",8,0.56,1,8,20,28,12
"617","28/01/2021",15,0.24,2,1,14,15,60
"1607","13/03/2021",2,0.46,1,9,38,47,4
"4494","05/09/2021",13,0.39,2,2,14,16,70
"1112","19/02/2021",21,0.39,2,5,38,42,11
"1292","27/02/2021",14,0.33,4,1,20,21,75
"4717","15/09/2021",6,0.86,1,26,17,43,0
"1212","24/02/2021",2,0.21,10,2,29,32,4
"3180","26/05/2021",7,0.53,1,16,34,50,2
"787","04/02/2021",20,0.49,2,1,22,23,39
"4420","02/09/2021",7,0.56,1,9,21,30,6
"4137","21/08/2021",5,0.28,1,3,20,22,12
"4028","13/08/2021",14,0.26,2,1,13,14,78
"3258","29/05/2021",14,0.1,3,0,7,8,79
"2746","06/05/2021",23,0.22,1,1,11,13,22
"2066","04/04/2021",5,0.19,1,1,19,19,7
"4157","22/08/2021",1,1.43,1,41,27,68,2
"4356","30/08/2021",14,0.37,1,6,7,13,17
"1672","15/03/2021",23,0.98,2,18,49,67,6
"3805","03/08/2021",24,0.48,1,11,32,44,1
"3404","04/06/2021",23,0.91,1,8,39,47,3
"4181","23/08/2021",1,0.25,0,2,16,18,14
"4455","03/09/2021",19,0.86,1,7,38,45,21
"2571","29/04/2021",10,1.04,2,18,49,66,30
"2301","14/04/2021",11,0.5,2,5,28,32,47
"1221","24/02/2021",11,0.99,20,25,56,81,24
"3284","30/05/2021",16,0.08,1,0,7,8,60
"1042","16/02/2021",4,0.16,1,1,10,10,21
"4037","13/08/2021",23,0.6,1,6,32,39,11
"3623","14/06/2021",8,0.58,1,24,19,43,3
"4540","07/09/2021",11,0.39,1,8,19,26,37
"685","31/01/2021",11,0.67,13,10,35,46,36
"1706","17/03/2021",10,0.44,4,10,23,33,21
"4659","12/09/2021",15,0.3,1,3,14,17,45
"1775","20/03/2021",7,0.74,18,34,36,70,2
"994","14/02/2021",3,0.11,1,0,5,5,21
"3732","18/06/2021",21,0.1,1,2,5,8,15
"4516","06/09/2021",11,0.37,1,7,17,23,34
"1338","01/03/2021",12,0.54,7,5,34,39,54
"3444","06/06/2021",15,0.22,2,1,8,9,69
"1205","23/02/2021",19,0.24,3,0,13,13,48
"2496","25/04/2021",12,0.52,4,2,22,24,72
"479","22/01/2021",3,0.78,1,16,35,51,0
"1416","04/03/2021",22,0.25,2,1,19,20,33
"1520","09/03/2021",10,0.46,8,15,27,42,19
"727","02/02/2021",8,0.92,1,60,27,86,3
"5117","02/10/2021",16,0.25,1,1,9,11,51
"5219","07/10/2021",2,0.31,0,4,22,25,9
"1496","08/03/2021",6,0.18,15,3,25,28,10
"1398","04/03/2021",4,0.14,1,1,20,21,25
"2935","15/05/2021",19,0.28,1,1,17,18,36
"3751","01/08/2021",16,0.46,2,1,16,18,65
"3589","12/06/2021",19,0.32,2,0,13,13,34
"1717","17/03/2021",21,0.25,1,1,18,19,25
"3555","11/06/2021",9,0.52,7,15,25,41,14
"2090","05/04/2021",5,0.22,1,2,22,24,10
"4953","25/09/2021",14,0.36,3,2,19,21,85
"2276","13/04/2021",7,2.12,3,105,47,152,1
"3143","24/05/2021",15,0.15,1,1,10,11,74
"2655","03/05/2021",3,0.05,1,0,3,4,28
"2790","09/05/2021",13,0.28,3,0,12,12,84
"4855","21/09/2021",6,0.37,3,15,30,45,3
"2808","10/05/2021",7,0.71,1,13,33,46,4
"2679","04/05/2021",3,0.08,1,0,3,3,29
"1481","07/03/2021",15,0.07,4,1,10,11,60
"574","26/01/2021",19,0.38,1,0,13,14,42
"3026","19/05/2021",15,0.19,1,1,8,9,58
"1830","22/03/2021",18,0.27,1,2,11,13,38
"4324","29/08/2021",3,0.11,0,1,2,3,14
"3605","13/06/2021",14,0.62,2,1,20,21,46
"4323","29/08/2021",2,0.13,0,1,4,5,12
"4370","31/08/2021",4,0.32,1,7,13,20,5
"4383","31/08/2021",17,0.83,1,8,35,43,20
"5065","30/09/2021",12,0.86,2,10,37,47,53
"2370","19/04/2021",23,0.2,1,0,11,12,27
"1940","27/03/2021",19,0.21,1,1,10,11,35
"3747","01/08/2021",12,0.5,2,5,25,30,60
"4155","21/08/2021",23,1.5,1,41,30,71,2
"532","24/01/2021",8,1.9,2,86,43,129,1
"485","22/01/2021",9,3.02,5,175,46,220,1
"5177","05/10/2021",8,0.49,1,19,16,35,7
"1958","28/03/2021",13,0.29,11,2,18,19,61
"1983","29/03/2021",14,0.31,2,1,15,16,62
"2480","24/04/2021",20,0.37,2,0,16,17,37
"2719","05/05/2021",19,0.37,1,2,19,21,21
"3930","09/08/2021",9,1.21,1,49,32,81,5
"3806","04/08/2021",1,0.29,0,3,23,25,5
"4745","16/09/2021",11,0.37,2,6,19,25,38
"1965","28/03/2021",20,0.17,1,1,11,12,25
"1175","22/02/2021",13,0.2,41,3,22,25,52
"586","27/01/2021",7,2.75,4,179,38,217,3
"1258","26/02/2021",3,0.04,1,0,7,7,25
"4946","25/09/2021",7,0.42,1,13,24,37,4
"4246","25/08/2021",21,0.33,0,3,14,17,20
"1867","24/03/2021",7,0.88,1,39,31,71,5
"126","06/01/2021",16,0.22,1,1,14,15,50
"3935","09/08/2021",14,0.3,1,1,14,16,83
"4959","25/09/2021",20,0.58,2,6,25,31,29
"2807","10/05/2021",6,0.38,1,4,26,30,8
"142","07/01/2021",8,0.35,2,8,33,41,4
"1844","23/03/2021",8,1.88,3,119,38,157,4
"4078","15/08/2021",16,0.15,1,1,6,7,52
"4626","11/09/2021",6,0.2,0,2,19,21,19
"2056","03/04/2021",19,0.16,3,0,15,16,36
"2771","08/05/2021",18,0.54,2,3,27,29,47
"2931","15/05/2021",13,0.13,1,1,12,14,70
"688","31/01/2021",14,0.12,3,1,9,10,52
"869","08/02/2021",15,0.17,1,2,7,10,41
"3978","11/08/2021",9,0.55,1,16,24,40,16
"1848","23/03/2021",12,0.27,1,2,14,16,47
"3880","07/08/2021",7,0.45,3,13,22,35,2
"1094","18/02/2021",24,1.35,2,33,64,96,1
"1250","25/02/2021",19,0.31,2,0,11,11,40
"1715","17/03/2021",19,0.44,2,2,17,19,36
"639","29/01/2021",13,0.92,7,15,50,64,40
"588","27/01/2021",9,3.15,5,191,55,245,4
"2681","04/05/2021",5,0.12,1,0,4,5,27
"2895","13/05/2021",22,0.12,1,1,11,13,19
"3483","08/06/2021",9,0.84,3,24,42,66,21
"2018","02/04/2021",4,0.03,1,0,10,10,15
"2567","29/04/2021",6,0.62,1,24,35,59,3
"2732","06/05/2021",8,0.49,1,10,23,33,11
"5112","02/10/2021",11,1.04,1,15,49,64,44
"3467","07/06/2021",17,0.3,1,1,9,10,56
"1449","06/03/2021",7,0.12,1,2,18,19,17
"1502","08/03/2021",12,0.68,29,11,36,48,33
"4374","31/08/2021",8,1.05,1,41,15,57,7
"3431","06/06/2021",2,0.31,2,1,16,17,24
"557","25/01/2021",9,1.7,2,73,45,117,3
"1845","23/03/2021",9,1.33,2,58,46,104,9
"4638","11/09/2021",18,0.18,1,3,11,13,32
